Name/Identifier	Unit type	Cost	Support Cost	Production time	Starting honour handicap	Units base strength	Number of men in unit ( Base value before scaling )	Honour step value	General candidate? ( eg. Stealth troops are not )	Rebelling Troop mixes this unit can belong to	Ruler ID troop advantage	Region ID troop advantage	Dojo advantage modifier	Unit choices (AI)	Unit Speciality extra building influences	Buildings needed to produce this Unit	Unit Class	Moral Bonus	Aplicable periods	Is this units base unitsize scalable?	Stats and general info about this trooptype	"Is the unit invisible to other players in the strategy map?
For units indicates a stealth unit"	Unit specialities	Tooltip Labels	Mount type	The body type + is it recolourable? + does it have a hi-res texture page.	If this unit is a leader of a faction then specify here which faction it leads. Different units may be specified for each time period and are assigned in the order the units are listed. Any time periods remaining unassigned will be assigned the last unit specified as a leader for the particular faction.  	Faction Association	Region	The order in which the units suitability for formation positions is evaluated. 	"Another set of suitability values for the formations troop types, this one represents the suitability of a type to perform certain tasks."	Specific cultures this unit belongs to. 	"Ship info, including stats ( if this is a ship ).."	NumSupportingRanks   Number of ranks behind first that can give support in melee. Default is 0.	"Effects chance of becomming inpetuous, and some other morale effects. Default is NORMAL."	Affects how evenly spaced the troops are in formation. Cosmetic only. Default is POORLY_FORMED.	"ShieldType. The type of shield the unit is considered to have for combat purposes
"	"MeleeWithShield. True if the unit can use the shield in melee. False if it has a weapon that needs two hands
"	ShieldModifier. The benefit the unit receives from having a shield. Units with heavy 	"ArmourPierciingWeapon  True if the weapon type is particularly effective against armoured troops
"	"CavAttackBonus The factor bonus the unit recieves when attacking cavalry
"	"CavDefenseBonus. The factor bonus the unit receives when defending against cavalry
"	Units this unit is fearful of.	This describes how much the unit affects the Zeal of the followers for each religion.	This describes how much the unit affects the Faith of the followers for each religion.	Dismounting info.	DismountInOpenBattle	Weapon type	Mercenary Unit	Period association for non campaign games.	Faction association for non campaign games.
 Label	Label	Integer	Integer	Number of seasons	Integer	Integer	Integer	Integer	"PREFERRED, OK or DISCOURAGED"	Labels	Label	Label or Integer	Use Label ( must correspond to Labels used for buildings )	Personality Label + integer	Building label( integer influence )	Use Labels ( must correspond to Labels used for buildings )	Labels	Integer	Label	Yes/No	Labels(values)	Labels	Labels	Localisation Labels	"NONE, CAMEL or HORSE"	Label		Labels	Label	Labels	Labels + value ranging 0-2			Int 0 and above  0.	Enum	Enum	Enum	YES/NO	Float	YES/NO	Int	Int	Unit name	Religion List with percetage values.	Religion List with percetage values.	"What troop this becomes when dismounted, if nothing specified then it will be judged as non dismountable."	yes if the unit can dismount in open battle. No if the unit can only dismount in castle battles	"SWORD, SPEAR, AXE or CLUB
(Note this column is linked from the UnitDefs sheet and should not be edited directly"	Can this unit be used in mercenary armies.		
"This is used internaly and also to locate files, each name must be uniquie. "	Used to distinguish between different types of units.	"Cost of producing this unit before any modifiers are taken into account. 
(Costs for units are linked from unit def sheet)"	Cost of supporting this unit on a per season basis.	The number of seasons it will take to produce this unit.				The amount of kills this unit must make to 'level up'.		Revolting troops are grouped in this fashion. Would imagine Crusaders will have differently named rebelling groups.	Some Leaders are given discounts on various troops or buildings.	Some regions provide discounts on troops or buildings.	If you leave this field blank you will never be able to build this unit.		These values describe an additional influence the AI will feel towards creating  buildings producing troops that have some advantage in a particular region.				"Perio descriptions for crusaders may be created here, please use capitals and underscores."	"The frontend offers 60-120 unit sizes, but in shogun this was not applicable to the one man army types like the master swordsman ( always 1 unit ), use if you think this is applicable to the unit type."	"This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"			1) Your unit title. 2) Your unit info. 3) Your allies unit info. 4) Your enemies unit info. 5) Nuetral others unit info.		"1) The type of body the troop will use. 2) Is the troop to wear faction colours 3) Is there a hi res page available? 4) If the troop is mounted, the name of the mount."	Faction name	"Unit availability to factions; either ALL_FACTIONS or FACTION_ONE, FACTION_TWO, etc; this has been treated as a second level filter and REQUIRES the building filter to be checked for an accurate list of who can raise what (such as might be needed for custom battles!)"	OR condition for raising units	( As far as I can tell ) This is used to determine where in the deployment of formations this units formation will be placed given the order provided. 	THIS DATA IS NO LONGER USED	Any cultures specified here will exclude all other cultures from generating this unit.	"Format:- Range, Attack rating, Defence rating, Speed, Strength."	"This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"	"   DISCIPLINED
   NORMAL
   UNCONTROLLED"	"PERFECTLY_FORMED 
   FORMED
   POORLY_FORMED
   UNFORMED
"	"NONE, SMALL, LARGE, CAV, PAVISE
This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"	"This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"	"This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"	"This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"	"This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"	"This column is linked from Linked To workshet, which is itself linked to the summary and unit def sheets. Please edit the factors there"					"yes or no
(default is no)"		YES / NO ( Default is no )	"EARLY, HIGH, LATE"	Faction ID ( declared in the startpos file)
DATA START																																																			
HighlandClansman	INFANTRY	100	3	1	0	16	60	1	DISCOURAGED	"CATH_REBELS(-15), CATH_LOYALISTS(-15), CATH_PEASANTS(-15), CATH_BANDITS(-15), CATH_ZEALOTS(10), ORTH_REBELS(-15), ORTH_LOYALISTS(-15), ORTH_PEASANTS(-15), ORTH_BANDITS(-15), ORTH_ZEALOTS(10), CATH_HERETICS(-15), ORTH_HERETICS(-15)"		ID_SCOTLAND		"POVERTY_STRICKEN(232.5), DESPERATE_DEFENCE(9.3), CATHOLIC_EXPANSIONIST(111.6), CATHOLIC_NAVAL_EXPANSIONIST(111.6), CATHOLIC_TRADER(93), CATHOLIC_CRUSADER_TRADER(93), CATHOLIC_EXPANSIONIST_CRUSADER(111.6), CATHOLIC_DEFENSIVE_CRUSADER(74.4), POPE(46.5), CATHOLIC_DEFENSIVE(74.4), CATHOLIC_ISOLATIONIST(46.5), ORTHODOX_DEFENSIVE(74.4), ORTHODOX_EXPANSIONIST(111.6), ORTHODOX_STAGNANT(93), MUSLIM_PEACEFUL(93), MUSLIM_EXPANSIONIST(111.6), MUSLIM_DEVOUT(111.6), BARBARIAN_RAIDER(148.8), REBELS(93), CLOSE_TO_SUPPORT_LIMIT(9.3)"		{ CASTLE}	"ATTACKER,AMBUSH"	2	ALL_PERIODS	YES	"HEIGHT( 85 ), RADIUS( 25 ), SCALE( 120 ), PROJECTILE_TYPE( NONE ), SAMURAI( NO ), MARCH_SPEED( 6 ), RUN_SPEED( 12 ), CHARGE_SPEED( 13 ), MIN_TURNSPEED( 2 ), MAX_TURNSPEED( 8 ), TURN_TO_MOTION_SPEED( 8 ), MAX_INMOTION_TURN( 96 ), FORMATION_WIDTH_SPACING( 75 ), FORMATION_LENGTH_SPACING( 75 ), ENGAGEMENT_THRESHOLD( 1500 ), CHARGE_BONUS( 6 ), MELEE_BONUS( 5 ), DEFENCE_BONUS( -3 ), ARMOUR_LEVEL( 1 ), HONOUR_LEVEL( 0 ), AMMO( 0 ), FORMATIONS_PREFERRED_NUM_ROWS( 4 )"	NO		"own_unit_tooltip1, own_unit_tooltip2, other_unit_tooltip1,  other_unit_tooltip2"		"PEASANT, YES, YES"		ALL_FACTIONS	ID_SCOTLAND	"Missile, Shocktroop, Spear, Cavalry"	"SKIRMISH(0), ADVANCE_PARTY(1),
OUTFLANKING_FORCE(0), MAIN_BODY(2), HOLD_TERRAIN(0), RESERVE(1), REINFORCEMENT(1), ASSAULT(0), ASSAULT_COVER(0), ASSAULT_COVER_CASTLE_ATTACK(2), COVER(0)"	"CATHOLIC, ORTHODOX"		0	UNCONTROLLED	UNFORMED	SMALL	YES	1	NO	0	0		"PAGAN(0), CATHOLIC(0), ORTHODOX(0), ISLAMIC(0), JEWISH(0), HERETIC(0)"	"PAGAN(0), CATHOLIC(0), ORTHODOX(0), ISLAMIC(0), JEWISH(0), HERETIC(0)"			SWORD	YES	ALL_PERIODS	"FN_ENGLISH,FN_FRENCH"
BallistaCrew	ARTILLERY	175	10	2	0	20	8	2	DISCOURAGED	"CATH_REBELS(2), CATH_LOYALISTS(3), CATH_PEASANTS(1), CATH_BANDITS(1), CATH_ZEALOTS(1), ORTH_REBELS(2), ORTH_LOYALISTS(3), ORTH_PEASANTS(1), ORTH_BANDITS(1), ORTH_ZEALOTS(1), MUS_REBELS(2), MUS_LOYALISTS(3), MUS_PEASANTS(1), MUS_BANDITS(1), MUS_ZEALOTS(1), CATH_HERETICS(2), ORTH_HERETICS(2), MUS_HERETICS(2), JIHAD(2), PAG_REBELS(1), PAG_LOYALISTS(1), PAG_PEASANTS(1), PAG_BANDITS(1), PAG_ZEALOTS(1)"				"POVERTY_STRICKEN(84), DESPERATE_DEFENCE(48), CATHOLIC_EXPANSIONIST(38.4), CATHOLIC_NAVAL_EXPANSIONIST(38.4), CATHOLIC_TRADER(48), CATHOLIC_CRUSADER_TRADER(48), CATHOLIC_EXPANSIONIST_CRUSADER(38.4), CATHOLIC_DEFENSIVE_CRUSADER(57.6), POPE(72), CATHOLIC_DEFENSIVE(57.6), CATHOLIC_ISOLATIONIST(72), ORTHODOX_DEFENSIVE(57.6), ORTHODOX_EXPANSIONIST(38.4), ORTHODOX_STAGNANT(48), MUSLIM_PEACEFUL(48), MUSLIM_EXPANSIONIST(38.4), MUSLIM_DEVOUT(38.4), BARBARIAN_RAIDER(19.2), REBELS(48), CLOSE_TO_SUPPORT_LIMIT(8.16)"		{ SIEGE_ENGINEER }	"MISSILE, CASTLE_DEFENDER"	0	ALL_PERIODS	NO	"HEIGHT( 85 ), RADIUS( 25 ), SCALE( 120 ), PROJECTILE_TYPE( BALISTA ), SAMURAI( NO ), MARCH_SPEED( 6 ), RUN_SPEED( 10 ), CHARGE_SPEED( 11 ), MIN_TURNSPEED( 2 ), MAX_TURNSPEED( 8 ), TURN_TO_MOTION_SPEED( 8 ), MAX_INMOTION_TURN( 96 ), FORMATION_WIDTH_SPACING( 60 ), FORMATION_LENGTH_SPACING( 60 ), ENGAGEMENT_THRESHOLD( 1500 ), CHARGE_BONUS( 1 ), MELEE_BONUS( 0 ), DEFENCE_BONUS( -2 ), ARMOUR_LEVEL( 1 ), HONOUR_LEVEL( 2 ), AMMO( 40 ), FORMATIONS_PREFERRED_NUM_ROWS( 2 )"	NO		"own_unit_tooltip1, own_unit_tooltip2, other_unit_tooltip1,  other_unit_tooltip2"		"PEASANT, YES, YES"		ALL_FACTIONS		"Missile, Shocktroop, Spear, Cavalry"	"SKIRMISH(0), ADVANCE_PARTY(1),
OUTFLANKING_FORCE(0), MAIN_BODY(2), HOLD_TERRAIN(0), RESERVE(1), REINFORCEMENT(1), ASSAULT(0), ASSAULT_COVER(0), ASSAULT_COVER_CASTLE_ATTACK(2), COVER(0)"			0			NONE	YES	1	NO	0	0						SWORD	YES	ALL_PERIODS	ALL_FACTIONS
MangonelCrew	ARTILLERY	525	10	2	0	25	24	2	DISCOURAGED	"CATH_REBELS(2), CATH_LOYALISTS(3), CATH_PEASANTS(1), CATH_BANDITS(1), CATH_ZEALOTS(1), ORTH_REBELS(2), ORTH_LOYALISTS(3), ORTH_PEASANTS(1), ORTH_BANDITS(1), ORTH_ZEALOTS(1), MUS_REBELS(2), MUS_LOYALISTS(3), MUS_PEASANTS(1), MUS_BANDITS(1), MUS_ZEALOTS(1), CATH_HERETICS(2), ORTH_HERETICS(2), MUS_HERETICS(2), JIHAD(2), PAG_REBELS(1), PAG_LOYALISTS(1), PAG_PEASANTS(1), PAG_BANDITS(1), PAG_ZEALOTS(1)"				"POVERTY_STRICKEN(8.5), DESPERATE_DEFENCE(85), CATHOLIC_EXPANSIONIST(68), CATHOLIC_NAVAL_EXPANSIONIST(68), CATHOLIC_TRADER(85), CATHOLIC_CRUSADER_TRADER(85), CATHOLIC_EXPANSIONIST_CRUSADER(68), CATHOLIC_DEFENSIVE_CRUSADER(102), POPE(127.5), CATHOLIC_DEFENSIVE(102), CATHOLIC_ISOLATIONIST(127.5), ORTHODOX_DEFENSIVE(102), ORTHODOX_EXPANSIONIST(68), ORTHODOX_STAGNANT(85), MUSLIM_PEACEFUL(85), MUSLIM_EXPANSIONIST(68), MUSLIM_DEVOUT(68), BARBARIAN_RAIDER(34), REBELS(85), CLOSE_TO_SUPPORT_LIMIT(44.2)"		{ SIEGE_ENGINEER4 }	"MISSILE, CASTLE_DEFENDER"	2	ALL_PERIODS	NO	"HEIGHT( 85 ), RADIUS( 25 ), SCALE( 120 ), PROJECTILE_TYPE( MANGONEL ), SAMURAI( NO ), MARCH_SPEED( 6 ), RUN_SPEED( 10 ), CHARGE_SPEED( 11 ), MIN_TURNSPEED( 2 ), MAX_TURNSPEED( 8 ), TURN_TO_MOTION_SPEED( 8 ), MAX_INMOTION_TURN( 96 ), FORMATION_WIDTH_SPACING( 60 ), FORMATION_LENGTH_SPACING( 60 ), ENGAGEMENT_THRESHOLD( 1500 ), CHARGE_BONUS( 1 ), MELEE_BONUS( 0 ), DEFENCE_BONUS( -2 ), ARMOUR_LEVEL( 1 ), HONOUR_LEVEL( 2 ), AMMO( 25 ), FORMATIONS_PREFERRED_NUM_ROWS( 2 )"	NO		"own_unit_tooltip1, own_unit_tooltip2, other_unit_tooltip1,  other_unit_tooltip2"		"PEASANT, YES, YES"		ALL_FACTIONS		"Missile, Shocktroop, Spear, Cavalry"	"SKIRMISH(0), ADVANCE_PARTY(1),
OUTFLANKING_FORCE(0), MAIN_BODY(2), HOLD_TERRAIN(0), RESERVE(1), REINFORCEMENT(1), ASSAULT(0), ASSAULT_COVER(0), ASSAULT_COVER_CASTLE_ATTACK(2), COVER(0)"			0			NONE	YES	1	NO	0	0						SWORD	YES	ALL_PERIODS	ALL_FACTIONS
CatapultCrew	ARTILLERY	225	10	2	-1	28	10	2	DISCOURAGED	"CATH_REBELS(2), CATH_LOYALISTS(3), CATH_PEASANTS(1), CATH_BANDITS(1), CATH_ZEALOTS(1), ORTH_REBELS(2), ORTH_LOYALISTS(3), ORTH_PEASANTS(1), ORTH_BANDITS(1), ORTH_ZEALOTS(1), MUS_REBELS(2), MUS_LOYALISTS(3), MUS_PEASANTS(1), MUS_BANDITS(1), MUS_ZEALOTS(1), CATH_HERETICS(2), ORTH_HERETICS(2), MUS_HERETICS(2), JIHAD(2), PAG_REBELS(1), PAG_LOYALISTS(1), PAG_PEASANTS(1), PAG_BANDITS(1), PAG_ZEALOTS(1)"				"POVERTY_STRICKEN(81.25), DESPERATE_DEFENCE(65), CATHOLIC_EXPANSIONIST(52), CATHOLIC_NAVAL_EXPANSIONIST(52), CATHOLIC_TRADER(65), CATHOLIC_CRUSADER_TRADER(65), CATHOLIC_EXPANSIONIST_CRUSADER(52), CATHOLIC_DEFENSIVE_CRUSADER(78), POPE(97.5), CATHOLIC_DEFENSIVE(78), CATHOLIC_ISOLATIONIST(97.5), ORTHODOX_DEFENSIVE(78), ORTHODOX_EXPANSIONIST(52), ORTHODOX_STAGNANT(65), MUSLIM_PEACEFUL(65), MUSLIM_EXPANSIONIST(52), MUSLIM_DEVOUT(52), BARBARIAN_RAIDER(26), REBELS(65), CLOSE_TO_SUPPORT_LIMIT(14.3)"		{ SIEGE_ENGINEER2 }	"MISSILE, CASTLE_DEFENDER"	4	ALL_PERIODS	NO	"HEIGHT( 85 ), RADIUS( 25 ), SCALE( 120 ), PROJECTILE_TYPE( CATAPULT ), SAMURAI( NO ), MARCH_SPEED( 6 ), RUN_SPEED( 10 ), CHARGE_SPEED( 11 ), MIN_TURNSPEED( 2 ), MAX_TURNSPEED( 8 ), TURN_TO_MOTION_SPEED( 8 ), MAX_INMOTION_TURN( 96 ), FORMATION_WIDTH_SPACING( 60 ), FORMATION_LENGTH_SPACING( 60 ), ENGAGEMENT_THRESHOLD( 1500 ), CHARGE_BONUS( 1 ), MELEE_BONUS( 0 ), DEFENCE_BONUS( -2 ), ARMOUR_LEVEL( 1 ), HONOUR_LEVEL( 2 ), AMMO( 30 ), FORMATIONS_PREFERRED_NUM_ROWS( 2 )"	NO		"own_unit_tooltip1, own_unit_tooltip2, other_unit_tooltip1,  other_unit_tooltip2"		"PEASANT, YES, YES"		ALL_FACTIONS		"Missile, Shocktroop, Spear, Cavalry"	"SKIRMISH(0), ADVANCE_PARTY(1),
OUTFLANKING_FORCE(0), MAIN_BODY(2), HOLD_TERRAIN(0), RESERVE(1), REINFORCEMENT(1), ASSAULT(0), ASSAULT_COVER(0), ASSAULT_COVER_CASTLE_ATTACK(2), COVER(0)"			0			NONE	YES	1	NO	0	0						SWORD	YES	ALL_PERIODS	ALL_FACTIONS
TrebuchetCrew	ARTILLERY	350	10	2	0	1000	20	2	DISCOURAGED	"CATH_REBELS(2), CATH_LOYALISTS(3), CATH_PEASANTS(1), CATH_BANDITS(1), CATH_ZEALOTS(1), ORTH_REBELS(2), ORTH_LOYALISTS(3), ORTH_PEASANTS(1), ORTH_BANDITS(1), ORTH_ZEALOTS(1), MUS_REBELS(2), MUS_LOYALISTS(3), MUS_PEASANTS(1), MUS_BANDITS(1), MUS_ZEALOTS(1), CATH_HERETICS(2), ORTH_HERETICS(2), MUS_HERETICS(2), JIHAD(2), PAG_REBELS(1), PAG_LOYALISTS(1), PAG_PEASANTS(1), PAG_BANDITS(1), PAG_ZEALOTS(1)"				"POVERTY_STRICKEN(0), DESPERATE_DEFENCE(76), CATHOLIC_EXPANSIONIST(60.8), CATHOLIC_NAVAL_EXPANSIONIST(60.8), CATHOLIC_TRADER(76), CATHOLIC_CRUSADER_TRADER(76), CATHOLIC_EXPANSIONIST_CRUSADER(60.8), CATHOLIC_DEFENSIVE_CRUSADER(91.2), POPE(114), CATHOLIC_DEFENSIVE(91.2), CATHOLIC_ISOLATIONIST(114), ORTHODOX_DEFENSIVE(91.2), ORTHODOX_EXPANSIONIST(60.8), ORTHODOX_STAGNANT(76), MUSLIM_PEACEFUL(76), MUSLIM_EXPANSIONIST(60.8), MUSLIM_DEVOUT(60.8), BARBARIAN_RAIDER(30.4), REBELS(76), CLOSE_TO_SUPPORT_LIMIT(26.6)"		{ SIEGE_ENGINEER3 }	"MISSILE, CASTLE_DEFENDER"	10	"HIGH, LATE"	NO	"HEIGHT( 85 ), RADIUS( 25 ), SCALE( 120 ), PROJECTILE_TYPE( TREBUCHE ), SAMURAI( NO ), MARCH_SPEED( 6 ), RUN_SPEED( 10 ), CHARGE_SPEED( 11 ), MIN_TURNSPEED( 2 ), MAX_TURNSPEED( 8 ), TURN_TO_MOTION_SPEED( 8 ), MAX_INMOTION_TURN( 96 ), FORMATION_WIDTH_SPACING( 60 ), FORMATION_LENGTH_SPACING( 60 ), ENGAGEMENT_THRESHOLD( 1500 ), CHARGE_BONUS( 1 ), MELEE_BONUS( 0 ), DEFENCE_BONUS( -2 ), ARMOUR_LEVEL( 1 ), HONOUR_LEVEL( 2 ), AMMO( 25 ), FORMATIONS_PREFERRED_NUM_ROWS( 2 )"	NO	"DEFENDING_RIVER(1), DEFENDING_CASTLE(1)"	"own_unit_tooltip1, own_unit_tooltip2, other_unit_tooltip1,  other_unit_tooltip2"		"PEASANT, YES, YES"		ALL_FACTIONS		"Missile, Shocktroop, Spear, Cavalry"	"SKIRMISH(0), ADVANCE_PARTY(1),
OUTFLANKING_FORCE(0), MAIN_BODY(2), HOLD_TERRAIN(0), RESERVE(1), REINFORCEMENT(1), ASSAULT(0), ASSAULT_COVER(0), ASSAULT_COVER_CASTLE_ATTACK(2), COVER(0)"			0			NONE	YES	1	NO	0	0						SWORD	YES	"HIGH, LATE"	ALL_FACTIONS
BombardCrew	ARTILLERY	275	10	2	0	18	18	2	DISCOURAGED	"CATH_REBELS(2), CATH_LOYALISTS(3), CATH_PEASANTS(1), CATH_BANDITS(1), CATH_ZEALOTS(1), ORTH_REBELS(2), ORTH_LOYALISTS(3), ORTH_PEASANTS(1), ORTH_BANDITS(1), ORTH_ZEALOTS(1), CATH_HERETICS(2), ORTH_HERETICS(2)"	FN_GERMAN_HRE			"POVERTY_STRICKEN(75.75), DESPERATE_DEFENCE(101), CATHOLIC_EXPANSIONIST(80.8), CATHOLIC_NAVAL_EXPANSIONIST(80.8), CATHOLIC_TRADER(101), CATHOLIC_CRUSADER_TRADER(101), CATHOLIC_EXPANSIONIST_CRUSADER(80.8), CATHOLIC_DEFENSIVE_CRUSADER(121.2), POPE(151.5), CATHOLIC_DEFENSIVE(121.2), CATHOLIC_ISOLATIONIST(151.5), ORTHODOX_DEFENSIVE(121.2), ORTHODOX_EXPANSIONIST(80.8), ORTHODOX_STAGNANT(101), MUSLIM_PEACEFUL(101), MUSLIM_EXPANSIONIST(80.8), MUSLIM_DEVOUT(80.8), BARBARIAN_RAIDER(40.4), REBELS(101), CLOSE_TO_SUPPORT_LIMIT(27.27)"		{ FOUNDRY }	"MISSILE, CASTLE_DEFENDER"	2	"HIGH, LATE"	NO	"HEIGHT( 85 ), RADIUS( 25 ), SCALE( 120 ), PROJECTILE_TYPE( BOMBARDIER ), SAMURAI( NO ), MARCH_SPEED( 6 ), RUN_SPEED( 10 ), CHARGE_SPEED( 11 ), MIN_TURNSPEED( 2 ), MAX_TURNSPEED( 8 ), TURN_TO_MOTION_SPEED( 8 ), MAX_INMOTION_TURN( 96 ), FORMATION_WIDTH_SPACING( 60 ), FORMATION_LENGTH_SPACING( 60 ), ENGAGEMENT_THRESHOLD( 1500 ), CHARGE_BONUS( 1 ), MELEE_BONUS( 0 ), DEFENCE_BONUS( -2 ), ARMOUR_LEVEL( 1 ), HONOUR_LEVEL( 2 ), AMMO( 25 ), FORMATIONS_PREFERRED_NUM_ROWS( 2 )"	NO		"own_unit_tooltip1, own_unit_tooltip2, other_unit_tooltip1,  other_unit_tooltip2"		"PEASANT, YES, YES"		ALL_FACTIONS		"Missile, Shocktroop, Spear, Cavalry"	"SKIRMISH(0), ADVANCE_PARTY(1),
OUTFLANKING_FORCE(0), MAIN_BODY(2), HOLD_TERRAIN(0), RESERVE(1), REINFORCEMENT(1), ASSAULT(0), ASSAULT_COVER(0), ASSAULT_COVER_CASTLE_ATTACK(2), COVER(0)"	"CATHOLIC,ORTHODOX"		0			NONE	YES	1	NO	0	0						SWORD	YES	"HIGH,LATE"	ALL_FACTIONS
MortarCrew	ARTILLERY	275	10	3	0	10	10	2	DISCOURAGED	"MUS_REBELS(2), MUS_LOYALISTS(3), MUS_PEASANTS(1), MUS_BANDITS(1), MUS_ZEALOTS(1), MONG_RAIDERS(2), MUS_HERETICS(2), JIHAD(2)"	FN_GERMAN_HRE			"POVERTY_STRICKEN(75.75), DESPERATE_DEFENCE(101), CATHOLIC_EXPANSIONIST(80.8), CATHOLIC_NAVAL_EXPANSIONIST(80.8), CATHOLIC_TRADER(101), CATHOLIC_CRUSADER_TRADER(101), CATHOLIC_EXPANSIONIST_CRUSADER(80.8), CATHOLIC_DEFENSIVE_CRUSADER(121.2), POPE(151.5), CATHOLIC_DEFENSIVE(121.2), CATHOLIC_ISOLATIONIST(151.5), ORTHODOX_DEFENSIVE(121.2), ORTHODOX_EXPANSIONIST(80.8), ORTHODOX_STAGNANT(101), MUSLIM_PEACEFUL(101), MUSLIM_EXPANSIONIST(80.8), MUSLIM_DEVOUT(80.8), BARBARIAN_RAIDER(40.4), REBELS(101), CLOSE_TO_SUPPORT_LIMIT(27.27)"		{ FOUNDRY }	"MISSILE, CASTLE_DEFENDER"	-4	"HIGH, LATE"	NO	"HEIGHT( 85 ), RADIUS( 25 ), SCALE( 120 ), PROJECTILE_TYPE( MORTAR ), SAMURAI( NO ), MARCH_SPEED( 6 ), RUN_SPEED( 10 ), CHARGE_SPEED( 11 ), MIN_TURNSPEED( 2 ), MAX_TURNSPEED( 8 ), TURN_TO_MOTION_SPEED( 8 ), MAX_INMOTION_TURN( 96 ), FORMATION_WIDTH_SPACING( 60 ), FORMATION_LENGTH_SPACING( 60 ), ENGAGEMENT_THRESHOLD( 1500 ), CHARGE_BONUS( 1 ), MELEE_BONUS( 0 ), DEFENCE_BONUS( -2 ), ARMOUR_LEVEL( 1 ), HONOUR_LEVEL( 2 ), AMMO( 40 ), FORMATIONS_PREFERRED_NUM_ROWS( 2 )"	NO		"own_unit_tooltip1, own_unit_tooltip2, other_unit_tooltip1,  other_unit_tooltip2"		"PEASANT, YES, YES"		ALL_FACTIONS		"Missile, Shocktroop, Spear, Cavalry"	"SKIRMISH(0), ADVANCE_PARTY(1),
OUTFLANKING_FORCE(0), MAIN_BODY(2), HOLD_TERRAIN(0), RESERVE(1), REINFORCEMENT(1), ASSAULT(0), ASSAULT_COVER(0), ASSAULT_COVER_CASTLE_ATTACK(2), COVER(0)"	MUSLIM		0			NONE	YES	1	NO	0	0						SWORD	YES	"HIGH,LATE"	ALL_FACTIONS
